Report file: infile9.txt.rpt
100 Jobs:
(1, 100, *) (1, 99, *) (1, 98, *) (1, 97, *) (1, 96, *) (1, 95, *) (1, 94, *) (1, 93, *) (1, 92, *) (1, 91, *) (1, 90, *) (1, 89, *) (1, 88, *) (1, 87, *) (1, 86, *) (1, 85, *) (1, 84, *) (1, 83, *) (1, 82, *) (1, 81, *) (1, 80, *) (1, 79, *) (1, 78, *) (1, 77, *) (1, 76, *) (1, 75, *) (1, 74, *) (1, 73, *) (1, 72, *) (1, 71, *) (1, 70, *) (1, 69, *) (1, 68, *) (1, 67, *) (1, 66, *) (1, 65, *) (1, 64, *) (1, 63, *) (1, 62, *) (1, 61, *) (1, 60, *) (1, 59, *) (1, 58, *) (1, 57, *) (1, 56, *) (1, 55, *) (1, 54, *) (1, 53, *) (1, 52, *) (1, 51, *) (1, 50, *) (1, 49, *) (1, 48, *) (1, 47, *) (1, 46, *) (1, 45, *) (1, 44, *) (1, 43, *) (1, 42, *) (1, 41, *) (1, 40, *) (1, 39, *) (1, 38, *) (1, 37, *) (1, 36, *) (1, 35, *) (1, 34, *) (1, 33, *) (1, 32, *) (1, 31, *) (1, 30, *) (1, 29, *) (1, 28, *) (1, 27, *) (1, 26, *) (1, 25, *) (1, 24, *) (1, 23, *) (1, 22, *) (1, 21, *) (1, 20, *) (1, 19, *) (1, 18, *) (1, 17, *) (1, 16, *) (1, 15, *) (1, 14, *) (1, 13, *) (1, 12, *) (1, 11, *) (1, 10, *) (1, 9, *) (1, 8, *) (1, 7, *) (1, 6, *) (1, 5, *) (1, 4, *) (1, 3, *) (1, 2, *) (1, 1, *) 

***********************************************************
1 processor: totalWait=333300, maxWait=5049, averageWait=3333.00
2 processors: totalWait=165375, maxWait=2548, averageWait=1653.75
3 processors: totalWait=109428, maxWait=1716, averageWait=1094.28
4 processors: totalWait=81400, maxWait=1296, averageWait=814.00
5 processors: totalWait=64600, maxWait=1045, averageWait=646.00
6 processors: totalWait=53464, maxWait=880, averageWait=534.64
7 processors: totalWait=45465, maxWait=763, averageWait=454.65
8 processors: totalWait=39488, maxWait=672, averageWait=394.88
9 processors: totalWait=34760, maxWait=605, averageWait=347.60
10 processors: totalWait=30975, maxWait=540, averageWait=309.75
11 processors: totalWait=27960, maxWait=504, averageWait=279.60
12 processors: totalWait=25496, maxWait=464, averageWait=254.96
13 processors: totalWait=23338, maxWait=427, averageWait=233.38
14 processors: totalWait=21434, maxWait=406, averageWait=214.34
15 processors: totalWait=19905, maxWait=375, averageWait=199.05
16 processors: totalWait=18484, maxWait=360, averageWait=184.84
17 processors: totalWait=17175, maxWait=330, averageWait=171.75
18 processors: totalWait=16205, maxWait=320, averageWait=162.05
19 processors: totalWait=15180, maxWait=310, averageWait=151.80
20 processors: totalWait=14100, maxWait=280, averageWait=141.00
21 processors: totalWait=13480, maxWait=274, averageWait=134.80
22 processors: totalWait=12830, maxWait=268, averageWait=128.30
23 processors: totalWait=12150, maxWait=262, averageWait=121.50
24 processors: totalWait=11440, maxWait=256, averageWait=114.40
25 processors: totalWait=10700, maxWait=225, averageWait=107.00
26 processors: totalWait=10340, maxWait=222, averageWait=103.40
27 processors: totalWait=9966, maxWait=219, averageWait=99.66
28 processors: totalWait=9578, maxWait=216, averageWait=95.78
29 processors: totalWait=9176, maxWait=213, averageWait=91.76
30 processors: totalWait=8760, maxWait=210, averageWait=87.60
31 processors: totalWait=8330, maxWait=207, averageWait=83.30
32 processors: totalWait=7886, maxWait=204, averageWait=78.86
33 processors: totalWait=7428, maxWait=201, averageWait=74.28
34 processors: totalWait=7159, maxWait=166, averageWait=71.59
35 processors: totalWait=6985, maxWait=165, averageWait=69.85
36 processors: totalWait=6806, maxWait=164, averageWait=68.06
37 processors: totalWait=6622, maxWait=163, averageWait=66.22
38 processors: totalWait=6433, maxWait=162, averageWait=64.33
39 processors: totalWait=6239, maxWait=161, averageWait=62.39
40 processors: totalWait=6040, maxWait=160, averageWait=60.40
41 processors: totalWait=5836, maxWait=159, averageWait=58.36
42 processors: totalWait=5627, maxWait=158, averageWait=56.27
43 processors: totalWait=5413, maxWait=157, averageWait=54.13
44 processors: totalWait=5194, maxWait=156, averageWait=51.94
45 processors: totalWait=4970, maxWait=155, averageWait=49.70
46 processors: totalWait=4741, maxWait=154, averageWait=47.41
47 processors: totalWait=4507, maxWait=153, averageWait=45.07
48 processors: totalWait=4268, maxWait=152, averageWait=42.68
49 processors: totalWait=4024, maxWait=151, averageWait=40.24
50 processors: totalWait=3775, maxWait=100, averageWait=37.75
51 processors: totalWait=3724, maxWait=100, averageWait=37.24
52 processors: totalWait=3672, maxWait=100, averageWait=36.72
53 processors: totalWait=3619, maxWait=100, averageWait=36.19
54 processors: totalWait=3565, maxWait=100, averageWait=35.65
55 processors: totalWait=3510, maxWait=100, averageWait=35.10
56 processors: totalWait=3454, maxWait=100, averageWait=34.54
57 processors: totalWait=3397, maxWait=100, averageWait=33.97
58 processors: totalWait=3339, maxWait=100, averageWait=33.39
59 processors: totalWait=3280, maxWait=100, averageWait=32.80
60 processors: totalWait=3220, maxWait=100, averageWait=32.20
61 processors: totalWait=3159, maxWait=100, averageWait=31.59
62 processors: totalWait=3097, maxWait=100, averageWait=30.97
63 processors: totalWait=3034, maxWait=100, averageWait=30.34
64 processors: totalWait=2970, maxWait=100, averageWait=29.70
65 processors: totalWait=2905, maxWait=100, averageWait=29.05
66 processors: totalWait=2839, maxWait=100, averageWait=28.39
67 processors: totalWait=2772, maxWait=100, averageWait=27.72
68 processors: totalWait=2704, maxWait=100, averageWait=27.04
69 processors: totalWait=2635, maxWait=100, averageWait=26.35
70 processors: totalWait=2565, maxWait=100, averageWait=25.65
71 processors: totalWait=2494, maxWait=100, averageWait=24.94
72 processors: totalWait=2422, maxWait=100, averageWait=24.22
73 processors: totalWait=2349, maxWait=100, averageWait=23.49
74 processors: totalWait=2275, maxWait=100, averageWait=22.75
75 processors: totalWait=2200, maxWait=100, averageWait=22.00
76 processors: totalWait=2124, maxWait=100, averageWait=21.24
77 processors: totalWait=2047, maxWait=100, averageWait=20.47
78 processors: totalWait=1969, maxWait=100, averageWait=19.69
79 processors: totalWait=1890, maxWait=100, averageWait=18.90
80 processors: totalWait=1810, maxWait=100, averageWait=18.10
81 processors: totalWait=1729, maxWait=100, averageWait=17.29
82 processors: totalWait=1647, maxWait=100, averageWait=16.47
83 processors: totalWait=1564, maxWait=100, averageWait=15.64
84 processors: totalWait=1480, maxWait=100, averageWait=14.80
85 processors: totalWait=1395, maxWait=100, averageWait=13.95
86 processors: totalWait=1309, maxWait=100, averageWait=13.09
87 processors: totalWait=1222, maxWait=100, averageWait=12.22
88 processors: totalWait=1134, maxWait=100, averageWait=11.34
89 processors: totalWait=1045, maxWait=100, averageWait=10.45
90 processors: totalWait=955, maxWait=100, averageWait=9.55
91 processors: totalWait=864, maxWait=100, averageWait=8.64
92 processors: totalWait=772, maxWait=100, averageWait=7.72
93 processors: totalWait=679, maxWait=100, averageWait=6.79
94 processors: totalWait=585, maxWait=100, averageWait=5.85
95 processors: totalWait=490, maxWait=100, averageWait=4.90
96 processors: totalWait=394, maxWait=100, averageWait=3.94
97 processors: totalWait=297, maxWait=100, averageWait=2.97
98 processors: totalWait=199, maxWait=100, averageWait=1.99
99 processors: totalWait=100, maxWait=100, averageWait=1.00
